2025-10-15 05:32:18 | INFO     | auth:115 | 用户尝试登录: admin
2025-10-15 05:32:18 | INFO     | auth:137 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-15 05:34:49 | INFO     | auth:115 | 用户尝试登录: admin
2025-10-15 05:34:49 | INFO     | auth:137 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-15 05:43:07 | INFO     | auth:115 | 用户尝试登录: admin
2025-10-15 05:43:08 | INFO     | auth:137 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-15 05:43:55 | INFO     | auth:115 | 用户尝试登录: admin
2025-10-15 05:43:56 | INFO     | auth:137 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-15 05:48:25 | INFO     | auth:115 | 用户尝试登录: admin
2025-10-15 05:48:26 | INFO     | auth:137 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-16 05:28:02 | INFO     | auth:115 | 用户尝试登录: admin 
2025-10-16 05:28:02 | WARNING  | auth:120 | 登录失败: 用户名或密码错误 - admin 
