2025-10-24 02:02:05 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-24 02:02:05 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-24 02:06:19 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: Carolyn
2025-10-24 02:06:19 | INFO     | auth:206 | 新用户创建成功: 用户名=Carolyn, 角色=teacher, ID=user-1761213979444
2025-10-24 02:09:30 | INFO     | words:245 | 删除单词集: 单词集=托福核心单词, 教师=admin
2025-10-24 02:10:58 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-24 02:10:58 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-24 02:11:42 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: Dentico
2025-10-24 02:11:42 | INFO     | auth:206 | 新用户创建成功: 用户名=Dentico, 角色=student, ID=user-1761214302659
2025-10-24 02:11:43 | INFO     | students:71 | 管理员 admin 为教师 Carolyn 创建学生: 卢溪屿
2025-10-24 02:11:43 | ERROR    | db_safety:71 | 创建学生失败 [数据库错误]: (sqlite3.OperationalError) no such column: students.user_id
[SQL: SELECT students.id AS students_id, students.user_id AS students_user_id, students.teacher_id AS students_teacher_id, students.name AS students_name, students.email AS students_email, students.remaining_hours AS students_remaining_hours, students.created_at AS students_created_at, students.updated_at AS students_updated_at 
FROM students 
WHERE students.user_id = ?
 LIMIT ? OFFSET ?]
[parameters: ('user-1761214302659', 1, 0)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-10-24 02:11:46 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: Dentico
2025-10-24 02:11:46 | WARNING  | auth:182 | 创建用户失败: 用户名已存在 - Dentico
2025-10-24 04:28:38 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-24 04:28:38 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-24 04:29:35 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: jlh
2025-10-24 04:29:35 | INFO     | auth:206 | 新用户创建成功: 用户名=jlh, 角色=teacher, ID=user-1761222575529
2025-10-24 04:40:17 | INFO     | auth:114 | 用户尝试登录: Carolyn
2025-10-24 04:40:18 | WARNING  | auth:119 | 登录失败: 用户名或密码错误 - Carolyn
2025-10-24 04:40:27 | INFO     | auth:114 | 用户尝试登录: Carolyn
2025-10-24 04:40:27 | INFO     | auth:136 | 登录成功: 用户=Carolyn, 角色=teacher, ID=user-1761213979444
2025-10-24 04:40:38 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-24 04:40:38 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-24 04:44:22 | INFO     | app.migrations:22 | 🔍 开始检查数据库架构...
2025-10-24 04:44:22 | INFO     | app.migrations:29 | 🔧 迁移 #1: 给 students 表添加 user_id 列
2025-10-24 04:44:22 | INFO     | app.migrations:33 | ✅ students.user_id 列添加成功
